time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-23T10:03:36.000Z,33.6831,141.3522,10,4.7,mb,,141,1.406,0.75,us,us70007v4s,2020-02-23T10:34:53.040Z,"159km ENE of Hachijo-jima, Japan",earthquake,7.9,1.9,0.11,25,reviewed,us,us
2020-02-23T09:30:35.593Z,-7.1244,146.9055,76.85,4.8,mb,,113,2.279,1.06,us,us70007v4d,2020-02-23T12:45:08.426Z,"29km ENE of Bulolo, Papua New Guinea",earthquake,10.3,8.5,0.079,49,reviewed,us,us
2020-02-23T05:53:01.034Z,38.5041,44.4046,6.43,5.7,mww,,38,1.074,0.86,us,us70007v29,2020-02-25T06:08:27.211Z,"25km SE of Saray, Turkey",earthquake,3.1,3.5,0.046,46,reviewed,us,us
2020-02-23T03:39:56.126Z,-0.1973,125.2781,47.59,5.1,mb,,63,2.299,1.31,us,us70007v12,2020-02-23T03:58:00.040Z,"141km SE of Modayag, Indonesia",earthquake,7.6,8.3,0.066,74,reviewed,us,us
2020-02-23T02:08:07.089Z,-0.1911,125.2034,48.81,5.3,mww,,47,2.365,1.05,us,us70007v0d,2020-02-27T00:08:59.040Z,"135km SE of Modayag, Indonesia",earthquake,7.5,7,0.08,15,reviewed,us,us
2020-02-23T01:12:36.258Z,-30.4239,-71.7317,35,5,mb,,102,0.262,1.1,us,us70007uzl,2020-02-23T15:18:23.828Z,"54km WNW of Ovalle, Chile",earthquake,5.7,2,0.103,30,reviewed,us,us
2020-02-22T23:19:02.678Z,-38.2601,-93.854,10,5,mb,,186,16.055,0.75,us,us70007uy9,2020-02-22T23:36:27.040Z,West Chile Rise,earthquake,13.4,1.9,0.039,212,reviewed,us,us
2020-02-22T23:12:37.157Z,-38.1232,-93.7368,10,5.5,mww,,38,15.889,0.8,us,us70007uy4,2020-02-24T21:21:28.040Z,West Chile Rise,earthquake,8.8,1.9,0.059,28,reviewed,us,us
2020-02-22T22:26:41.835Z,37.4165,31.4506,10.72,4.7,mb,,38,0.86,1.04,us,us70007uxg,2020-02-23T05:04:33.451Z,"5km WNW of Derebucak, Turkey",earthquake,2.3,4.7,0.068,65,reviewed,us,us
2020-02-22T19:46:07.333Z,-22.4478,-174.3085,10,5.2,mb,,159,5.296,0.95,us,us70007uvu,2020-02-23T04:55:43.040Z,"140km SSE of `Ohonua, Tonga",earthquake,14.4,2,0.136,18,reviewed,us,us
2020-02-22T18:50:17.303Z,-21.6778,-174.8168,10,5.2,mb,,60,5.266,0.96,us,us70007uuu,2020-02-22T19:09:03.040Z,"40km SSE of `Ohonua, Tonga",earthquake,10.6,1.9,0.068,72,reviewed,us,us
2020-02-22T16:29:35.528Z,5.4165,126.6889,35,4.7,mb,,121,1.978,0.96,us,us70007usz,2020-02-22T16:49:58.040Z,"118km SSE of Pondaguitan, Philippines",earthquake,5.9,2,0.089,38,reviewed,us,us
2020-02-22T15:39:07.523Z,5.4246,126.7476,35,4.8,mb,,146,2.005,0.7,us,us70007usq,2020-02-22T16:09:57.040Z,"121km SSE of Pondaguitan, Philippines",earthquake,7.2,2,0.139,16,reviewed,us,us
2020-02-22T15:34:45.820Z,5.4983,126.6753,56.99,5.2,mww,,113,1.903,1.22,us,us70007usp,2020-02-22T15:48:04.040Z,"110km SSE of Pondaguitan, Philippines",earthquake,8.6,10.1,0.078,16,reviewed,us,us
2020-02-22T15:29:53.435Z,5.4539,126.6796,55.37,5.1,mww,,157,1.942,1.16,us,us70007usm,2020-02-22T15:42:30.040Z,"114km SSE of Pondaguitan, Philippines",earthquake,6.1,9.3,0.075,17,reviewed,us,us
2020-02-22T10:14:31.053Z,6.2996,-72.1154,10,4.5,mb,,78,2.628,0.62,us,us70007uqn,2020-02-22T10:34:20.040Z,"37km ESE of Guican, Colombia",earthquake,3.5,1.9,0.076,51,reviewed,us,us
2020-02-22T08:47:04.398Z,27.0347,143.6919,10,5.2,mb,,98,1.345,0.59,us,us70007upz,2020-02-22T09:05:39.040Z,"146km E of Chichi-shima, Japan",earthquake,7.8,1.9,0.029,406,reviewed,us,us
2020-02-22T08:46:06.007Z,37.2696,71.5619,116.06,4.7,mb,,61,2.218,1.04,us,us70007upy,2020-02-26T15:24:13.749Z,"23km W of Roshtqal'a, Tajikistan",earthquake,7.7,2.2,0.117,22,reviewed,us,us
2020-02-22T06:55:38.215Z,-2.8208,147.5248,10,4.5,mb,,195,0.788,1.05,us,us70007upc,2020-02-23T10:59:15.040Z,"92km SSE of Lorengau, Papua New Guinea",earthquake,11.3,2,0.144,14,reviewed,us,us
2020-02-22T04:31:21.413Z,19.3401,121.1495,35,4.9,mb,,66,3.46,0.99,us,us70007umy,2020-02-22T04:50:50.040Z,"80km N of Namuac, Philippines",earthquake,9.3,2,0.063,78,reviewed,us,us
