Year,Month,Day,Flow
2015,2,23,4460
2015,2,24,4360
2015,2,25,4290
2015,2,26,4290
2015,2,27,4240
2015,2,28,4230
2015,3,1,3970
2015,3,2,3530
2015,3,3,3950
2015,3,4,3460
2015,3,5,3460
2015,3,6,3790
2015,3,7,3520
2015,3,8,3140
2015,3,9,3420
2015,3,10,3570
2015,3,11,3590
2015,3,12,4960
2015,3,13,5720
2015,3,14,4580
2015,3,15,4340
2015,3,16,4500
2015,3,17,4880
2015,3,18,5740
2015,3,19,5440
2015,3,20,4520
2015,3,21,4410
2015,3,22,4310
2015,3,23,4040
2015,3,24,3610
2015,3,25,3770
2015,3,26,5270
2015,3,27,9150
2015,3,28,8170
2015,3,29,6310
2015,3,30,6130
2015,3,31,5820
2015,4,1,6220
2015,4,2,6350
2015,4,3,9310
2015,4,4,14600
2015,4,5,14500
2015,4,6,11100
2015,4,7,10300
2015,4,8,10100
2015,4,9,10800
2015,4,10,11700
2015,4,11,15e3
2015,4,12,14800
2015,4,13,13700
2015,4,14,17e3
2015,4,15,20300
2015,4,16,19100
2015,4,17,17700
2015,4,18,17500
2015,4,19,16800
2015,4,20,15e3
2015,4,21,15900
2015,4,22,21600
2015,4,23,21400
2015,4,24,18300
2015,4,25,14700
2015,4,26,12600
2015,4,27,11200
2015,4,28,10600
2015,4,29,1e4
2015,4,30,9500
2015,5,1,9360
2015,5,2,8260
2015,5,3,7580
2015,5,4,6680
2015,5,5,6770
2015,5,6,6440
2015,5,7,6300
2015,5,8,5090
2015,5,9,4890
2015,5,10,4630
2015,5,11,4620
2015,5,12,5310
2015,5,13,7120
2015,5,14,6630
2015,5,15,6110
2015,5,16,5390
2015,5,17,4540
2015,5,18,4010
2015,5,19,4010
2015,5,20,3930
2015,5,21,3750
2015,5,22,3060
2015,5,23,3340
2015,5,24,3020
2015,5,25,3170
2015,5,26,3050
2015,5,27,3400
2015,5,28,3390
2015,5,29,3e3
2015,5,30,3290
2015,5,31,4180
2015,6,1,5250
2015,6,2,9750
2015,6,3,12300
2015,6,4,10700
2015,6,5,9190
2015,6,6,8290
2015,6,7,7130
2015,6,8,5900
2015,6,9,5790
2015,6,10,7550
2015,6,11,10900
2015,6,12,10800
2015,6,13,10200
2015,6,14,9800
2015,6,15,1e4
2015,6,16,11500
2015,6,17,10900
2015,6,18,10600
2015,6,19,9680
2015,6,20,9380
2015,6,21,9340
2015,6,22,9250
2015,6,23,9170
2015,6,24,12600
2015,6,25,13400
2015,6,26,10700
2015,6,27,8940
2015,6,28,8740
2015,6,29,11e3
2015,6,30,10300
2015,7,1,1e4
2015,7,2,13100
2015,7,3,11700
2015,7,4,10300
2015,7,5,10100
2015,7,6,9470
2015,7,7,9700
2015,7,8,10700
2015,7,9,10500
2015,7,10,11e3
2015,7,11,10100
2015,7,12,9320
2015,7,13,9090
2015,7,14,8490
2015,7,15,8140
2015,7,16,7900
2015,7,17,7450
2015,7,18,7220
2015,7,19,5760
2015,7,20,4670
2015,7,21,4350
2015,7,22,4020
2015,7,23,4050
2015,7,24,3840
2015,7,25,3720
2015,7,26,3320
2015,7,27,3300
2015,7,28,3350
2015,7,29,3350
2015,7,30,3550
2015,7,31,3720
2015,8,1,3320
2015,8,2,3300
2015,8,3,3620
2015,8,4,3950
2015,8,5,3e3
2015,8,6,3190
2015,8,7,2740
2015,8,8,3180
2015,8,9,2810
2015,8,10,2760
2015,8,11,3610
2015,8,12,3640
2015,8,13,3510
2015,8,14,3410
2015,8,15,3300
2015,8,16,2910
2015,8,17,3230
2015,8,18,2880
2015,8,19,2680
2015,8,20,2580
2015,8,21,2770
2015,8,22,2580
2015,8,23,2500
2015,8,24,2610
2015,8,25,2720
2015,8,26,2390
2015,8,27,2550
2015,8,28,2540
2015,8,29,2530
2015,8,30,2440
2015,8,31,2390
2015,9,1,2510
2015,9,2,2180
2015,9,3,2290
2015,9,4,2210
2015,9,5,2200
2015,9,6,2140
2015,9,7,2340
2015,9,8,2130
2015,9,9,2370
2015,9,10,2480
2015,9,11,1980
2015,9,12,2910
2015,9,13,3060
2015,9,14,3440
2015,9,15,3560
2015,9,16,3270
2015,9,17,3310
2015,9,18,3110
2015,9,19,2870
2015,9,20,3300
2015,9,21,2790
2015,9,22,3340
2015,9,23,2660
2015,9,24,2730
2015,9,25,2520
2015,9,26,2460
2015,9,27,2440
2015,9,28,2520
2015,9,29,2640
2015,9,30,7180
2015,10,1,9540
2015,10,2,8120
2015,10,3,6010
2015,10,4,3910
2015,10,5,3010
2015,10,6,2790
2015,10,7,2740
2015,10,8,2580
2015,10,9,2850
2015,10,10,3430
2015,10,11,3410
2015,10,12,3220
2015,10,13,3170
2015,10,14,3770
2015,10,15,3820
2015,10,16,3010
2015,10,17,2920
2015,10,18,2840
2015,10,19,2800
2015,10,20,2900
2015,10,21,2730
2015,10,22,2800
2015,10,23,2830
2015,10,24,2310
2015,10,25,2520
2015,10,26,3010
2015,10,27,2750
2015,10,28,2940
2015,10,29,6910
2015,10,30,13100
2015,10,31,11600
2015,11,1,10400
2015,11,2,10600
2015,11,3,10100
2015,11,4,9640
2015,11,5,9010
2015,11,6,8380
2015,11,7,7850
2015,11,8,7790
2015,11,9,8310
2015,11,10,8060
2015,11,11,8270
2015,11,12,8270
2015,11,13,8690
2015,11,14,8520
2015,11,15,8460
2015,11,16,8540
2015,11,17,8290
2015,11,18,8140
2015,11,19,7480
2015,11,20,6230
2015,11,21,7010
2015,11,22,7470
2015,11,23,6940
2015,11,24,5820
2015,11,25,5540
2015,11,26,5680
2015,11,27,5260
2015,11,28,5320
2015,11,29,5220
2015,11,30,5060
2015,12,1,4680
2015,12,2,5440
2015,12,3,6130
2015,12,4,7270
2015,12,5,7530
2015,12,6,7330
2015,12,7,7070
2015,12,8,6930
2015,12,9,7120
2015,12,10,7250
2015,12,11,7250
2015,12,12,7070
2015,12,13,6960
2015,12,14,6910
2015,12,15,6090
2015,12,16,6410
2015,12,17,5840
2015,12,18,6230
2015,12,19,7200
2015,12,20,7480
2015,12,21,7860
2015,12,22,8030
2015,12,23,1e4
2015,12,24,12100
2015,12,25,11700
2015,12,26,9770
2015,12,27,11400
2015,12,28,13300
2015,12,29,13300
2015,12,30,12200
2015,12,31,12300
2016,1,1,15300
2016,1,2,12e3
2016,1,3,11100
2016,1,4,9630
2016,1,5,8510
2016,1,6,8310
2016,1,7,7920
2016,1,8,8130
2016,1,9,8160
2016,1,10,9310
2016,1,11,13500
2016,1,12,11300
2016,1,13,8240
2016,1,14,7290
2016,1,15,9050
2016,1,16,9350
2016,1,17,9340
2016,1,18,8240
2016,1,19,7260
2016,1,20,7310
2016,1,21,7840
2016,1,22,8090
2016,1,23,7860
2016,1,24,8580
2016,1,25,7670
2016,1,26,7530
2016,1,27,7290
2016,1,28,7230
2016,1,29,6890
2016,1,30,6590
2016,1,31,6380
2016,2,1,5330
2016,2,2,4550
2016,2,3,5760
2016,2,4,12200
2016,2,5,10200
2016,2,6,8850
2016,2,7,7890
2016,2,8,7160
2016,2,9,6740
2016,2,10,6240
2016,2,11,6470
2016,2,12,6060
2016,2,13,6020
2016,2,14,7130
2016,2,15,6990
2016,2,16,7520
2016,2,17,12700
2016,2,18,1e4
2016,2,19,8410
2016,2,20,8330
2016,2,21,9200
2016,2,22,8640
2016,2,23,8230
2016,2,24,7830
2016,2,25,27500
2016,2,26,28700
2016,2,27,20400
2016,2,28,16400
2016,2,29,14200
2016,3,1,12600
2016,3,2,12200
2016,3,3,13300
2016,3,4,11700
2016,3,5,12100
2016,3,6,11e3
2016,3,7,10600
2016,3,8,9550
2016,3,9,9050
2016,3,10,9150
2016,3,11,14300
2016,3,12,17e3
2016,3,13,14600
2016,3,14,12400
2016,3,15,12900
2016,3,16,12e3
2016,3,17,12600
2016,3,18,13900
2016,3,19,12600
2016,3,20,11500
2016,3,21,10100
2016,3,22,9240
2016,3,23,8390
2016,3,24,7780
2016,3,25,7710
2016,3,26,8350
2016,3,27,8250
2016,3,28,8100
2016,3,29,10600
2016,3,30,11100
2016,3,31,10300
2016,4,1,9850
2016,4,2,11e3
2016,4,3,12e3
2016,4,4,11e3
2016,4,5,9500
2016,4,6,8870
2016,4,7,9070
2016,4,8,13100
2016,4,9,15100
2016,4,10,12200
2016,4,11,11200
2016,4,12,12600
2016,4,13,14700
2016,4,14,12400
2016,4,15,11200
2016,4,16,10200
2016,4,17,9940
2016,4,18,9250
2016,4,19,8150
2016,4,20,7510
2016,4,21,7260
2016,4,22,7e3
2016,4,23,6940
2016,4,24,7200
2016,4,25,6360
2016,4,26,6290
2016,4,27,6750
2016,4,28,5900
2016,4,29,5730
2016,4,30,5670
2016,5,1,5530
2016,5,2,5890
2016,5,3,7250
2016,5,4,7850
2016,5,5,7750
2016,5,6,7600
2016,5,7,7340
2016,5,8,7560
2016,5,9,7300
2016,5,10,6820
2016,5,11,6500
2016,5,12,6110
2016,5,13,6270
2016,5,14,7010
2016,5,15,6930
2016,5,16,6710
2016,5,17,6120
2016,5,18,5440
2016,5,19,5230
2016,5,20,4490
2016,5,21,4010
2016,5,22,4470
2016,5,23,4200
2016,5,24,3840
2016,5,25,4300
2016,5,26,4120
2016,5,27,3800
2016,5,28,3570
2016,5,29,3870
2016,5,30,3950
2016,5,31,3730
2016,6,1,3610
2016,6,2,3510
2016,6,3,3720
2016,6,4,3840
2016,6,5,4300
2016,6,6,6050
2016,6,7,6020
2016,6,8,6250
2016,6,9,5380
2016,6,10,4850
2016,6,11,4610
2016,6,12,4680
2016,6,13,4710
2016,6,14,3590
2016,6,15,3620
2016,6,16,3560
2016,6,17,3300
2016,6,18,2870
2016,6,19,3220
2016,6,20,3390
2016,6,21,3300
2016,6,22,3460
2016,6,23,3220
2016,6,24,3140
2016,6,25,3100
2016,6,26,2880
2016,6,27,3210
2016,6,28,3050
2016,6,29,3210
2016,6,30,3290
2016,7,1,3610
2016,7,2,5150
2016,7,3,4140
2016,7,4,3430
2016,7,5,3330
2016,7,6,2970
2016,7,7,3160
2016,7,8,2780
2016,7,9,3600
2016,7,10,3580
2016,7,11,4280
2016,7,12,4380
2016,7,13,3970
2016,7,14,4250
2016,7,15,4130
2016,7,16,3820
2016,7,17,3900
2016,7,18,4350
2016,7,19,3880
2016,7,20,3270
2016,7,21,3340
2016,7,22,3020
2016,7,23,2840
2016,7,24,2970
2016,7,25,2990
2016,7,26,2860
2016,7,27,2650
2016,7,28,2640
2016,7,29,2320
2016,7,30,2520
