"","Year","CO2_ppm"
"288",1982.95342465753,340.88
"289",1983.03835616438,341.64
"290",1983.12328767123,342.87
"291",1983.2,343.59
"292",1983.28493150685,345.25
"293",1983.36712328767,345.96
"294",1983.45205479452,345.52
"295",1983.53424657534,344.15
"296",1983.61917808219,342.25
"297",1983.70410958904,340.17
"298",1983.78630136986,340.3
"299",1983.87123287671,341.53
"300",1983.95342465753,343.07
"301",1984.03825136612,344.05
"302",1984.12295081967,344.77
"303",1984.20218579235,345.46
"304",1984.2868852459,346.77
"305",1984.36885245902,347.55
"306",1984.45355191257,346.98
"307",1984.53551912568,345.55
"308",1984.62021857923,343.2
"309",1984.70491803279,341.35
"310",1984.7868852459,341.68
"311",1984.87158469945,343.06
"312",1984.95355191257,344.54
"313",1985.03835616438,345.25
"314",1985.12328767123,346.06
"315",1985.2,347.66
"316",1985.28493150685,348.2
"317",1985.36712328767,348.92
"318",1985.45205479452,348.4
"319",1985.53424657534,346.66
"320",1985.61917808219,344.85
"321",1985.70410958904,343.2
"322",1985.78630136986,343.08
"323",1985.87123287671,344.4
"324",1985.95342465753,345.82
"325",1986.03835616438,346.54
"326",1986.12328767123,347.13
"327",1986.2,348.05
"328",1986.28493150685,349.77
"329",1986.36712328767,350.53
"330",1986.45205479452,349.9
"331",1986.53424657534,348.11
"332",1986.61917808219,346.09
"333",1986.70410958904,345.01
"334",1986.78630136986,344.47
"335",1986.87123287671,345.86
"336",1986.95342465753,347.15
"337",1987.03835616438,348.38
"338",1987.12328767123,348.7
"339",1987.2,349.72
"340",1987.28493150685,351.32
"341",1987.36712328767,352.14
"342",1987.45205479452,351.61
"343",1987.53424657534,349.91
"344",1987.61917808219,347.84
"345",1987.70410958904,346.52
"346",1987.78630136986,346.65
"347",1987.87123287671,347.96
"348",1987.95342465753,349.18
"349",1988.03825136612,350.38
"350",1988.12295081967,351.68
"351",1988.20218579235,352.24
"352",1988.2868852459,353.66
"353",1988.36885245902,354.18
"354",1988.45355191257,353.68
"355",1988.53551912568,352.58
"356",1988.62021857923,350.66
"357",1988.70491803279,349.03
"358",1988.7868852459,349.08
"359",1988.87158469945,350.15
"360",1988.95355191257,351.44
"361",1989.03835616438,352.89
"362",1989.12328767123,353.24
