Year,Month,Precip_inches,state_cd
1940,6,6.5,AL
1940,7,8.85,AL
1940,8,2.95,AL
1940,9,1.54,AL
1940,10,1.3,AL
1940,11,3.56,AL
1940,12,6.5,AL
1941,1,2.72,AL
1941,2,2.84,AL
1941,3,4.58,AL
1941,4,2.88,AL
1941,5,0.73,AL
1941,6,4.14,AL
1941,7,7.97,AL
1941,8,5.57,AL
1941,9,2.8,AL
1941,10,2.07,AL
1941,11,2.63,AL
1941,12,7.25,AL
1942,1,3.46,AL
1942,2,4.83,AL
1942,3,7.34,AL
1942,4,1.84,AL
1942,5,3.42,AL
1942,6,5.49,AL
1942,7,5,AL
1942,8,6.41,AL
1942,9,4.06,AL
1942,10,1.99,AL
1942,11,1.84,AL
1942,12,8.02,AL
1943,1,4.23,AL
1943,2,2.29,AL
1943,3,9.91,AL
1943,4,3.64,AL
1943,5,3.78,AL
1943,6,3.68,AL
1943,7,4.68,AL
1943,8,3.9,AL
1943,9,4.47,AL
1943,10,0.81,AL
1943,11,3.4,AL
1943,12,3.62,AL
1944,1,3.61,AL
1944,2,7.04,AL
1944,3,10.85,AL
1944,4,9.49,AL
1944,5,2.93,AL
1944,6,2.83,AL
1944,7,4.31,AL
1944,8,6.62,AL
1944,9,4.94,AL
1944,10,0.57,AL
1944,11,3.58,AL
1944,12,3.69,AL
1945,1,4.07,AL
1945,2,6.97,AL
1945,3,4.98,AL
1945,4,7.61,AL
1945,5,3.24,AL
1945,6,3.35,AL
1945,7,5.89,AL
1945,8,3.07,AL
1945,9,3.59,AL
1945,10,3.7,AL
1945,11,3.46,AL
1945,12,6.5,AL
1946,1,8.37,AL
1946,2,6.49,AL
1946,3,8.02,AL
1946,4,2.86,AL
1946,5,7.66,AL
1946,6,5.51,AL
1946,7,6.84,AL
1946,8,4.93,AL
1946,9,5.88,AL
1946,10,1.48,AL
1946,11,5,AL
1946,12,2.67,AL
1947,1,9.97,AL
1947,2,1.97,AL
1947,3,7.4,AL
1947,4,6.85,AL
1947,5,6.04,AL
1947,6,4.71,AL
1947,7,3.37,AL
1947,8,3.81,AL
1947,9,2.61,AL
1947,10,1.76,AL
1947,11,8.15,AL
1947,12,4.97,AL
1948,1,4.49,AL
1948,2,6.28,AL
1948,3,9.85,AL
1948,4,3.9,AL
1948,5,3.25,AL
1948,6,3.52,AL
1948,7,6.72,AL
1948,8,4.01,AL
1948,9,4.38,AL
1948,10,1.54,AL
1948,11,15.07,AL
1948,12,4.63,AL
1949,1,7.06,AL
1949,2,6.26,AL
1949,3,6.41,AL
1949,4,5.19,AL
1949,5,4.29,AL
1949,6,5.56,AL
1949,7,6.76,AL
1949,8,4.65,AL
1949,9,3.25,AL
1949,10,3.05,AL
1949,11,0.86,AL
1949,12,4.02,AL
1950,1,4.92,AL
1950,2,4.29,AL
1950,3,6.72,AL
1950,4,3.48,AL
1950,5,4.17,AL
1950,6,3.35,AL
1950,7,9.12,AL
1950,8,5.59,AL
1950,9,3.83,AL
1950,10,1.78,AL
1950,11,1.78,AL
1950,12,4.01,AL
1951,1,3.96,AL
1951,2,3.39,AL
1951,3,9.26,AL
1951,4,5.02,AL
1951,5,1.48,AL
1951,6,4.68,AL
1951,7,4.15,AL
1951,8,2.24,AL
1951,9,5.81,AL
1951,10,1.72,AL
1951,11,3.68,AL
1951,12,7.53,AL
1952,1,3.96,AL
1952,2,4.3,AL
1952,3,6.59,AL
1952,4,2.95,AL
1952,5,5.3,AL
1952,6,2.07,AL
1952,7,2.23,AL
1952,8,6.28,AL
1952,9,3.21,AL
1952,10,1.21,AL
1952,11,2.67,AL
1952,12,5.93,AL
1953,1,5.47,AL
1953,2,7.48,AL
1953,3,3.7,AL
1953,4,7.72,AL
1953,5,4.49,AL
1953,6,3.71,AL
1953,7,5.94,AL
1953,8,2.61,AL
1953,9,4.77,AL
1953,10,0.56,AL
1953,11,2.62,AL
1953,12,10.38,AL
1954,1,4.2,AL
1954,2,3.12,AL
1954,3,3.7,AL
1954,4,3.57,AL
1954,5,2.36,AL
1954,6,2.24,AL
1954,7,3.91,AL
1954,8,1.85,AL
1954,9,1.16,AL
1954,10,1.53,AL
1954,11,3.05,AL
1954,12,4.71,AL
1955,1,4.43,AL
1955,2,5.46,AL
1955,3,3.25,AL
1955,4,7.39,AL
1955,5,5.68,AL
1955,6,3.12,AL
1955,7,7.17,AL
1955,8,3.07,AL
1955,9,0.93,AL
1955,10,2.45,AL
1955,11,3.17,AL
1955,12,2.04,AL
1956,1,2.68,AL
1956,2,7.89,AL
1956,3,6.87,AL
1956,4,4.62,AL
1956,5,2.6,AL
1956,6,4.26,AL
1956,7,5.55,AL
1956,8,2.88,AL
1956,9,4.7,AL
1956,10,3.7,AL
1956,11,1.78,AL
1956,12,6.19,AL
1957,1,4.59,AL
1957,2,3.71,AL
1957,3,4.24,AL
1957,4,7.15,AL
1957,5,5.13,AL
1957,6,5.85,AL
1957,7,3,AL
1957,8,2.28,AL
1957,9,8.95,AL
1957,10,2.37,AL
1957,11,8.07,AL
1957,12,3.52,AL
1958,1,3.31,AL
1958,2,4.33,AL
1958,3,5.69,AL
1958,4,5.12,AL
1958,5,2.92,AL
1958,6,4.86,AL
1958,7,8.32,AL
1958,8,3,AL
1958,9,5.19,AL
1958,10,1.41,AL
1958,11,3,AL
1958,12,2.07,AL
1959,1,4.53,AL
1959,2,4.84,AL
1959,3,5.99,AL
1959,4,4.1,AL
1959,5,6.1,AL
1959,6,4.23,AL
1959,7,4.61,AL
1959,8,3.7,AL
1959,9,5.14,AL
1959,10,6.86,AL
1959,11,2.64,AL
1959,12,3.37,AL
1960,1,5.88,AL
1960,2,4.37,AL
1960,3,6.91,AL
1960,4,3.86,AL
1960,5,3.49,AL
1960,6,2.99,AL
1960,7,4.33,AL
1960,8,5.7,AL
1960,9,5.34,AL
1960,10,3.38,AL
1960,11,2.17,AL
1960,12,2.6,AL
1961,1,3.31,AL
1961,2,12.03,AL
1961,3,9.17,AL
1961,4,4.95,AL
1961,5,3.2,AL
1961,6,6.72,AL
1961,7,4.99,AL
1961,8,5.03,AL
1961,9,2.76,AL
1961,10,0.96,AL
1961,11,4.5,AL
1961,12,12.21,AL
1962,1,7.03,AL
1962,2,4.86,AL
1962,3,5.47,AL
1962,4,6.11,AL
1962,5,1.06,AL
1962,6,4.88,AL
1962,7,4.25,AL
1962,8,2.74,AL
1962,9,3.37,AL
1962,10,2.6,AL
1962,11,4.76,AL
1962,12,2.97,AL
1963,1,6.25,AL
1963,2,3.29,AL
1963,3,5.13,AL
1963,4,4.1,AL
1963,5,3.26,AL
1963,6,5.92,AL
1963,7,5.93,AL
1963,8,2.72,AL
1963,9,3.04,AL
1963,10,0.03,AL
1963,11,4.31,AL
1963,12,4.84,AL
1964,1,6.8,AL
1964,2,4.54,AL
1964,3,8.17,AL
1964,4,11.5,AL
1964,5,2.67,AL
1964,6,3.42,AL
1964,7,7.29,AL
1964,8,4.7,AL
1964,9,3.53,AL
1964,10,4.85,AL
1964,11,3.79,AL
1964,12,5.24,AL
1965,1,4.21,AL
1965,2,6.28,AL
1965,3,6.81,AL
1965,4,2.54,AL
1965,5,1.18,AL
1965,6,5.6,AL
1965,7,5.94,AL
1965,8,4.38,AL
1965,9,3.98,AL
1965,10,2.86,AL
1965,11,1.83,AL
1965,12,3.17,AL
1966,1,5.96,AL
1966,2,8.59,AL
1966,3,4.01,AL
1966,4,4.46,AL
1966,5,4.9,AL
1966,6,2.41,AL
1966,7,4.04,AL
1966,8,4.97,AL
1966,9,4.3,AL
1966,10,4.08,AL
1966,11,3.35,AL
1966,12,4.75,AL
1967,1,3.73,AL
1967,2,4.75,AL
1967,3,1.92,AL
1967,4,2.31,AL
1967,5,5.59,AL
1967,6,4.4,AL
