Date,Year,Month,Precip_inches,Anomaly_inches,state_cd
192905,1929,05,5.85,1.61,AL
192906,1929,06,4.76,0.48,AL
192907,1929,07,3.65,-1.79,AL
192908,1929,08,2.07,-2.27,AL
192909,1929,09,5.64,1.86,AL
192910,1929,10,5.17,2.34,AL
192911,1929,11,10.2,6.35,AL
192912,1929,12,3.73,-1.42,AL
193001,1930,01,4.33,-0.85,AL
193002,1930,02,2.4,-2.78,AL
193003,1930,03,5.58,-0.58,AL
193004,1930,04,1.47,-3.34,AL
193005,1930,05,4.65,0.41,AL
193006,1930,06,1.76,-2.52,AL
193007,1930,07,3.71,-1.73,AL
193008,1930,08,3.46,-0.88,AL
193009,1930,09,6.03,2.25,AL
193010,1930,10,2.64,-0.19,AL
193011,1930,11,6.94,3.09,AL
193012,1930,12,2.83,-2.32,AL
193101,1931,01,3.2,-1.98,AL
193102,1931,02,3.48,-1.7,AL
193103,1931,03,3.87,-2.29,AL
193104,1931,04,3.21,-1.6,AL
193105,1931,05,3.43,-0.81,AL
193106,1931,06,1.66,-2.62,AL
193107,1931,07,5.85,0.41,AL
193108,1931,08,4.49,0.15,AL
193109,1931,09,1.21,-2.57,AL
193110,1931,10,1.81,-1.02,AL
193111,1931,11,2.13,-1.72,AL
193112,1931,12,9.5,4.35,AL
193201,1932,01,7.34,2.16,AL
193202,1932,02,5.53,0.35,AL
193203,1932,03,4.55,-1.61,AL
193204,1932,04,3.27,-1.54,AL
193205,1932,05,4.92,0.68,AL
193206,1932,06,4.82,0.54,AL
193207,1932,07,4.99,-0.45,AL
193208,1932,08,5.28,0.94,AL
193209,1932,09,5.01,1.23,AL
193210,1932,10,6.71,3.88,AL
193211,1932,11,3.91,0.06,AL
193212,1932,12,9.2,4.05,AL
193301,1933,01,2.98,-2.2,AL
193302,1933,02,6.1,0.92,AL
193303,1933,03,6.18,0.02,AL
193304,1933,04,6.24,1.43,AL
193305,1933,05,2.78,-1.46,AL
193306,1933,06,3.19,-1.09,AL
193307,1933,07,7.18,1.74,AL
193308,1933,08,3.96,-0.38,AL
193309,1933,09,2.27,-1.51,AL
193310,1933,10,1.79,-1.04,AL
193311,1933,11,1.26,-2.59,AL
193312,1933,12,3.25,-1.9,AL
193401,1934,01,3.9,-1.28,AL
193402,1934,02,4.6,-0.58,AL
193403,1934,03,6.47,0.31,AL
193404,1934,04,3.48,-1.33,AL
193405,1934,05,3.74,-0.5,AL
193406,1934,06,5.15,0.87,AL
193407,1934,07,6.78,1.34,AL
193408,1934,08,5.85,1.51,AL
193409,1934,09,2.27,-1.51,AL
193410,1934,10,6.38,3.55,AL
193411,1934,11,3.97,0.12,AL
193412,1934,12,3.36,-1.79,AL
193501,1935,01,2.76,-2.42,AL
193502,1935,02,4.16,-1.02,AL
193503,1935,03,7.56,1.4,AL
193504,1935,04,5.43,0.62,AL
193505,1935,05,4.62,0.38,AL
193506,1935,06,3.78,-0.5,AL
193507,1935,07,4.39,-1.05,AL
193508,1935,08,4.65,0.31,AL
193509,1935,09,2.25,-1.53,AL
193510,1935,10,1.93,-0.9,AL
193511,1935,11,3.3,-0.55,AL
193512,1935,12,4.21,-0.94,AL
193601,1936,01,11.49,6.31,AL
193602,1936,02,7.13,1.95,AL
193603,1936,03,3.73,-2.43,AL
193604,1936,04,6.41,1.6,AL
193605,1936,05,2.01,-2.23,AL
193606,1936,06,1.85,-2.43,AL
193607,1936,07,7.31,1.87,AL
193608,1936,08,5.3,0.96,AL
193609,1936,09,2.7,-1.08,AL
193610,1936,10,2,-0.83,AL
193611,1936,11,1.86,-1.99,AL
193612,1936,12,7.26,2.11,AL
193701,1937,01,9.1,3.92,AL
193702,1937,02,5,-0.18,AL
193703,1937,03,4.46,-1.7,AL
193704,1937,04,6.64,1.83,AL
193705,1937,05,4.51,0.27,AL
193706,1937,06,3.62,-0.66,AL
193707,1937,07,4.52,-0.92,AL
