C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Pb
C-348573,1516,IL,38.6902,-87.9456,08/13/10,Planted/Cultivated,Pasture/Hay,123-160,15.9
C-348599,1704,IL,40.4737,-90.4341,09/28/10,Planted/Cultivated,Row Crops,120-150,27.1
C-348562,1780,IL,37.5698,-88.7224,08/11/10,Planted/Cultivated,Urban/Recreational Grasses,99-149,15
C-348758,1960,IL,41.0609,-89.5918,08/01/10,Planted/Cultivated,Row Crops,114-155,19.2
C-348487,2036,IL,39.4642,-89.4766,08/15/10,Planted/Cultivated,Row Crops,115-153,19.4
C-348896,2104,IL,42.4228,-88.3066,08/05/10,Herbaceous Upland,Grasslands/Herbaceous,102-154,10.7
C-348597,2472,IL,40.3134,-88.0177,09/27/10,Planted/Cultivated,Row Crops,120-140,21.9
C-348755,2728,IL,40.2298,-90.8907,07/31/10,Herbaceous Upland,Grasslands/Herbaceous,131-159,16.5
C-348559,2804,IL,37.9019,-89.8154,08/11/10,Planted/Cultivated,Urban/Recreational Grasses,124-151,16.2
C-348475,3060,IL,39.612,-88.4521,08/16/10,Planted/Cultivated,Row Crops,125-156,16
C-348482,3080,IL,39.3303,-90.68,08/15/10,Planted/Cultivated,Pasture/Hay,128-159,17.9
C-348881,3240,IL,41.2671,-88.6948,08/02/10,Planted/Cultivated,Row Crops,122-135,21.9
C-348579,3496,IL,39.8311,-88.2362,08/16/10,Planted/Cultivated,Row Crops,130-160,12.3
C-348757,3752,IL,40.9175,-89.6396,08/01/10,Planted/Cultivated,Row Crops,129-160,12.7
C-348762,3816,IL,41.3091,-91.0038,08/01/10,Planted/Cultivated,Pasture/Hay,125-153,13.6
C-348567,3828,IL,38.1544,-89.0082,08/12/10,Herbaceous Upland,Grasslands/Herbaceous,116-155,16.5
C-348760,4008,IL,41.211,-90.197,08/01/10,Planted/Cultivated,Row Crops,121-153,16.9
C-348577,4084,IL,38.7366,-89.1244,08/14/10,Planted/Cultivated,Pasture/Hay,117-151,14.8
C-348478,4104,IL,38.506,-89.756,08/14/10,Planted/Cultivated,Row Crops,117-157,19.6
C-348885,4520,IL,40.9678,-88.0166,08/03/10,Planted/Cultivated,Row Crops,55-80,18.9
