Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-357220,12628,TX,31.3092,-105.8391,06/18/10,Herbaceous Upland,Grasslands/Herbaceous,0-5,12.2
C-357221,12636,TX,27.8132,-97.6816,07/27/10,Planted/Cultivated,Urban/Recreational Grasses,0-5,15.4
C-358806,12671,TX,33.5753,-102.328,06/02/10,Planted/Cultivated,Row Crops,0-5,11.6
C-357222,12728,TX,31.7228,-99.942,06/09/10,Planted/Cultivated,Small Grains,0-5,10.9
C-357223,12740,TX,28.6334,-100.1315,07/20/10,Shrubland,Shrubland,0-5,11.6
C-357224,12792,TX,33.5355,-97.1323,05/31/10,Planted/Cultivated,Pasture/Hay,0-5,19
C-300381,12828,TX,26.2672,-97.1901,09/13/07,Barren,Transitional,0-5,7.5
C-357226,12863,TX,32.8774,-100.3522,06/05/10,Planted/Cultivated,Fallow,0-5,11.8
C-357227,12892,TX,30.2013,-97.3253,07/14/10,Forested Upland,Mixed Forest,0-5,14.4
C-342198,12907,TX,36.4951,-102.2418,05/25/10,Herbaceous Upland,Grasslands/Herbaceous,0-5,18.1
C-341951,12927,TX,35.1356,-101.3241,05/29/10,Planted/Cultivated,Row Crops,0-5,20.8
C-357228,12984,TX,32.3258,-99.5003,06/10/10,Planted/Cultivated,Pasture/Hay,0-5,12.1
C-357229,12996,TX,30.0517,-100.7219,06/14/10,Herbaceous Upland,Grasslands/Herbaceous,0-5,13.8
C-358807,13039,TX,31.953,-104.0142,06/08/10,Shrubland,Shrubland,0-5,14.2
C-357230,13084,TX,27.5813,-99.0593,07/23/10,Shrubland,Shrubland,0-5,8.9
C-358808,13119,TX,31.2294,-101.9278,06/07/10,Shrubland,Shrubland,0-5,19.5
C-357231,13132,TX,31.8062,-94.1424,07/05/10,Planted/Cultivated,Urban/Recreational Grasses,0-5,19.9
C-357232,13148,TX,30.4513,-95.6341,07/09/10,Forested Upland,Mixed Forest,0-5,12.5
C-357233,13176,TX,33.3372,-98.4667,06/03/10,Planted/Cultivated,Pasture/Hay,0-5,12.4
C-341967,13183,TX,34.781,-101.528,05/31/10,Planted/Cultivated,Row Crops,0-5,18.7
C-312931,47,UT,38.831,-113.1348,06/24/08,Shrubland,Shrubland,0-5,13.4
